Saudi Arabia,Percent,1.375,1.338,1.323
Senegal,Percent,0.044,0.046,0.047
Serbia,Percent,0.091,0.091,0.092
Seychelles,Percent,0.002,0.002,0.002
Sierra Leone,Percent,0.009,0.009,0.009
Singapore,Percent,0.422,0.412,0.403
Slovak Republic,Percent,0.141,0.141,0.14
Slovenia,Percent,0.056,0.056,0.056
Solomon Islands,Percent,0.001,0.001,0.001
Somalia,Percent,0.009,0.009,0.009
South Africa,Percent,0.583,0.57,0.558
South Sudan,Percent,0.014,0.015,0.016
Spain,Percent,1.378,1.368,1.348
Sri Lanka,Percent,0.215,0.215,0.215
St. Kitts and Nevis,Percent,0.001,0.001,0.001
St. Lucia,Percent,0.002,0.002,0.002
St. Vincent and the Grenadines,Percent,0.001,0.001,0.001
Sudan,Percent,0.131,0.124,0.118
Suriname,Percent,0.007,0.007,0.006
Sweden,Percent,0.405,0.397,0.39
Switzerland,Percent,0.407,0.399,0.391
Syria,Percent,,,
Taiwan Province of China,Percent,0.924,0.917,0.904
Tajikistan,Percent,0.023,0.024,0.024
Tanzania,Percent,0.132,0.135,0.138
Thailand,Percent,0.975,0.975,0.972
Timor-Leste,Percent,0.005,0.005,0.005
Togo,Percent,0.01,0.011,0.011
Tonga,Percent,--,--,--
Trinidad and Tobago,Percent,0.033,0.032,0.031
Tunisia,Percent,0.107,0.105,0.104
Turkey,Percent,1.698,1.654,1.648
Turkmenistan,Percent,0.083,0.086,0.088
Tuvalu,Percent,--,--,--
Uganda,Percent,0.072,0.074,0.076
Ukraine,Percent,0.288,0.288,0.288
United Arab Emirates,Percent,0.533,0.526,0.522
United Kingdom,Percent,2.244,2.207,2.166
United States,Percent,15.196,15.113,14.928
Uruguay,Percent,0.06,0.058,0.058
Uzbekistan,Percent,0.204,0.21,0.215
Vanuatu,Percent,0.001,0.001,0.001
Venezuela,Percent,0.23,,
Vietnam,Percent,0.525,0.543,0.559
Yemen,Percent,0.051,0.051,0.05
Zambia,Percent,0.054,0.054,0.053
Zimbabwe,Percent,0.031,0.028,0.028
