Region,Country,Rep,Location,StationID
Asia,China,CHN,Heilongjiang Fuyu,507420
Asia,China,CHN,Heilongjiang Hailun,507560
Asia,China,CHN,Heilongjiang Harbin,509530
Asia,China,CHN,Heilongjiang Huma,503530
Asia,China,CHN,Heilongjiang Jiamusi,508730
Asia,China,CHN,Heilongjiang Jixi,509780
Asia,China,CHN,Heilongjiang Keshan,506580
Asia,China,CHN,Heilongjiang Mohe,501360
Asia,China,CHN,Heilongjiang Mudanjiang,540940
Asia,China,CHN,Heilongjiang Nenjiang,505570
Asia,China,CHN,Heilongjiang Qiqihar,507450
Asia,China,CHN,Heilongjiang Shangzhi,509680
Asia,China,CHN,Heilongjiang Suifenhe,540960
Asia,China,CHN,Heilongjiang Sunwu,505640
Asia,China,CHN,Heilongjiang Tonghe,509630
Asia,China,CHN,Heilongjiang Zhaozhou,509500
Asia,China,CHN,Henan Anyang,538980
Asia,China,CHN,Henan Lushi,570670
Asia,China,CHN,Henan Nanyang,571780
Asia,China,CHN,Henan Shangqiu,580050
Asia,China,CHN,Henan Xinyang,572970
Asia,China,CHN,Henan Zhengzhou,570830
Asia,China,CHN,Henan Zhumadian,572900
Asia,China,CHN,Hong Kong SAR,450070
Asia,China,CHN,Hubei Exi,574470
Asia,China,CHN,Hubei Laohekou,572650
Asia,China,CHN,Hubei Macheng,573990
Asia,China,CHN,Hubei Wuhan,574940
Asia,China,CHN,Hubei Yichang,574610
Asia,China,CHN,Hubei Yunxi,572510
Asia,China,CHN,Hubei Zhongxiang,573780
Asia,China,CHN,Hunan Changde,576620
Asia,China,CHN,Hunan Changning,578740
Asia,China,CHN,Hunan Changsha,576870
Asia,China,CHN,Hunan Jishou,576490
Asia,China,CHN,Hunan Lingling,578660
Asia,China,CHN,Hunan Nanxian,575740
Asia,China,CHN,Hunan Shimen,575620
Asia,China,CHN,Hunan Wugang,578530
Asia,China,CHN,Hunan Zhijiang,577450
Asia,China,CHN,Hunan Zhuzhou,577800
Asia,China,CHN,Jiangsu Dongtai,582510
Asia,China,CHN,Jiangsu Ganyu,580400
Asia,China,CHN,Jiangsu Huaiyang-Qingjiang,581440
Asia,China,CHN,Jiangsu Lusi,582650
Asia,China,CHN,Jiangsu Nanjing,582380
Asia,China,CHN,Jiangsu Xuzhou,580270
Asia,China,CHN,Jiangxi Ganzhou,579930
Asia,China,CHN,Jiangxi Jian,577990
Asia,China,CHN,Jiangxi Jingdezhen,585270
Asia,China,CHN,Jiangxi Nanchang,586060
Asia,China,CHN,Jiangxi Nancheng,587150
Asia,China,CHN,Jiangxi Suichuan,578960
Asia,China,CHN,Jiangxi Yichun,577930
Asia,China,CHN,Jiangxi Yushan,586340
Asia,China,CHN,Jilin Baicheng,509360
Asia,China,CHN,Jilin Changchun,541610
Asia,China,CHN,Jilin Donggang,542840
Asia,China,CHN,Jilin Dunhua,541860
Asia,China,CHN,Jilin Linjiang,543740
Asia,China,CHN,Jilin Qian Gorlos,509490
Asia,China,CHN,Jilin Siping,541570
Asia,China,CHN,Jilin Yanji,542920
Asia,China,CHN,Kinjiang Uygar Kashi,517090
Asia,China,CHN,Kinjiang Uygur Kuqa,516440
Asia,China,CHN,Kinjiang Uygur Yining,514310
Asia,China,CHN,Kinjiang Uyhur Hotan,518280
Asia,China,CHN,Liaoning Benxi,543460
Asia,China,CHN,Liaoning Chaoyang,543240
Asia,China,CHN,Liaoning Dalian,546620
Asia,China,CHN,Liaoning Dandong,544970
Asia,China,CHN,Liaoning Jinzhou,543370
Asia,China,CHN,Liaoning Kuandian,544930
Asia,China,CHN,Liaoning Shenyang,543420
Asia,China,CHN,Liaoning Xingcheng,544550
Asia,China,CHN,Liaoning Xinmin,543330
Asia,China,CHN,Liaoning Yingkou,544710
Asia,China,CHN,Liaoning Zhangwu,542360
Asia,China,CHN,Nei Mongol Abag Qi Hot,531920
Asia,China,CHN,Nei Mongol Arxan,507270
Asia,China,CHN,Nei Mongol Bailingmiao,533520
