,Country,GDP,PPP,Population,Population density,daily cases mean,daily cases max,outbreak,lat,lng,education level,national flights,international flights,Mean_Weather
63,Maldives,16620.42,16620.42,540.542,1801.807,0,0,FALSE,3.558704762,73.23415714,,0,457,28.97083333
64,Malta,32019.43,32019.43,441.539,1379.809,0,0,FALSE,35.91973824,14.42536029,45.68045044,0,178,
65,Marshall Islands,4001.13,4001.13,59.194,328.856,0,0,FALSE,7.103,171.38,,0,12,28.525
66,Mauritania,1426.84,1426.84,4649.66,4.511,0,0,FALSE,18.78508182,-12.8699,5.465159893,0,42,
67,Mauritius,11720.62,11720.62,1271.767,626.486,0,0,FALSE,-20.2414,57.5083,39.72568893,0,145,
68,Mexico,10405.79,10405.79,128932.753,66.325,0,0,FALSE,22.47122394,-101.1142872,29.20858002,9399,6367,26.59166667
69,Mongolia,4363.9,4363.9,3278.292,2.11,0,0,FALSE,47.47981852,103.6529889,62.24863052,0,124,-23.32583333
70,Morocco,3464.02,3464.02,36910.558,82.703,0,0,FALSE,32.93327619,-6.93787619,22.46668053,26,468,12.67166667
71,Mozambique,521.831,521.831,31255.435,39.746,0,0,FALSE,-18.76257879,35.83689697,5.043230057,0,110,
72,Nepal,1176.58,1176.58,29136.808,203.256,1,1,FALSE,27.81968095,83.9727,16.92815018,0,535,13.07307692
73,New Zealand,42084.4,42084.4,4822.233,18.314,0,0,FALSE,-40.61379216,166.825298,79.7142868,1164,62,17.47075758
74,Nicaragua,1869.62,1869.62,6624.554,55.049,0,0,FALSE,12.34715263,-85.69748421,,0,221,28.83722222
75,Norway,78333.22,78333.22,5421.242,14.842,0,0,FALSE,63.14672703,12.28485946,76.11792755,,,2.937362637
76,Pakistan,0,0,220892.331,286.546,0,0,FALSE,30.88726341,71.0472,10.3703804,624,1006,20.435
77,Palau,17378.1,17378.1,18.092,39.33,0,0,FALSE,7.4442,134.5734,61.86380005,,,27.025
78,Panama,17148.32,17148.32,4314.768,58.041,0,0,FALSE,8.581482353,-80.31394706,38.73934937,2,2359,
79,Paraguay,5904.86,5904.86,7132.53,17.953,0,0,FALSE,-24.41617632,-57.19957895,,24,210,27.83833333
80,Peru,7316.97,7316.97,32971.846,25.759,0,0,FALSE,-9.925585393,-75.71437079,,2239,1056,18.1986755
81,Philippines,3484.9,3484.9,109581.085,367.512,1.5,2,FALSE,12.08366441,122.7029373,33.61302948,3718,3591,27.11833333
82,Poland,15988.04,15988.04,37846.605,123.589,0,0,FALSE,52.30834231,18.91288077,71.15869141,0,347,2.793133696
83,Portugal,23731.13,23731.13,10196.707,111.33,0,0,FALSE,39.31074167,-10.8834875,66.22161865,,,13.09800664
84,Puerto Rico,32100.4,32100.4,2860.84,322.53,0,0,FALSE,18.24841552,-66.33582241,85.33583832,9,1766,25.66777778
85,Qatar,70736.88,70736.88,2881.06,248.153,0,0,FALSE,25.49765,51.4213375,13.61604977,0,3295,
86,Romania,13414.49,13414.49,19237.682,83.58,0,0,FALSE,45.75772857,25.11367143,52.16814041,378,658,2.773333333
87,Russia,11305.12,11305.12,0,0,2,2,FALSE,56.48203989,74.14709438,77.99648285,,,-10.34187867
88,Rwanda,873.332,873.332,12952.209,525.019,0,0,FALSE,-2.071216667,29.75234167,7.529250145,0,298,
89,Saudi Arabia,22533.26,22533.26,34813.867,16.195,0,0,FALSE,24.598025,43.39485625,54.88156128,3566,4213,17.05365854
90,Senegal,1494.31,1494.31,16743.93,86.968,0,0,FALSE,14.31776,-15.39058,,0,0,23.59
91,Serbia,7991.58,7991.58,8737.37,99.901,0,0,FALSE,44.26976828,20.75430276,56.38087845,,,5.508333333
92,Seychelles,17178.63,17178.63,98.34,213.783,0,0,FALSE,-4.6166,55.45,3.142329931,0,102,
93,Singapore,64829.22,64829.22,5850.343,8357.633,9.923076923,24,TRUE,1.293,103.8558,6.478059769,13,6296,27.84166667
94,Slovenia,27452.32,27452.32,2078.932,103.224,0,0,FALSE,46.23675047,15.09026179,85.22184753,,,
95,South Africa,6193.17,6193.17,59308.69,48.891,0,0,FALSE,-29.36146806,25.86319444,19.66282082,4363,1276,20.61
96,Spain,30734.12,30734.12,46754.783,93.735,1,1,FALSE,39.23129796,-4.263840816,87.06577301,,,9.523157111
97,Sri Lanka,4152.21,4152.21,21413.25,341.465,1,1,FALSE,7.518426667,80.4328,18.93725014,44,983,25.995
98,Sudan,759.706,759.706,43849.269,24.843,0,0,FALSE,14.88652286,31.40889714,16.92466927,0,367,
99,Sweden,51892.08,51892.08,10099.27,24.612,1,1,FALSE,59.71773143,15.97936857,63.39294052,,,-0.069
100,Switzerland,86673.5,86673.5,8654.618,219.016,0,0,FALSE,47.07579375,8.1342375,56.26816177,,,5.013333333
